gene,gene_betweeness,gene_degree,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC
5-Mar,4.14E-05,28,374,1.66E-06,0.37821,0.02815014,5,53.40541,98.64865,0.9189443,142.0033,16.16393,38.23384
5-Sep,2.73E-05,22,211,2.45E-06,0.56455,0.007739458,18,35.48649,63.94595,0.9374304,58.04918,3.868852,61.47277
6-Mar,7.44E-05,15,725,4.78E-06,0.433525,0.03434376,8,51.27027,96.43243,0.8463823,110.3213,8.439344,45.93308
6-Sep,0.000112892,29,,2.94E-06,0.452975,0.06081842,12,30.48649,77.62162,0.8735367,108.141,15.63279,48.98553
7-Mar,3.09E-05,23,344,2.39E-06,0.46755,0.03909095,39,41.62162,78.18919,0.904256,44.19016,1.232787,57.05568
7-Sep,0.000149165,68,577,3.52E-06,0.379175,0.03283838,5,47.37838,92.97297,0.7552575,52.07213,4.190164,36.90081
8-Mar,4.45E-06,8,205,2.68E-06,0.47779,-0.01659891,8,58.48649,99.08108,0.9066333,204.3705,35.52131,46.55969
8-Sep,2.72E-05,25,356,1.68E-06,0.43928,0.05869674,19,44.18919,89.05405,0.8977126,114.8328,15.36066,55.10166
9-Mar,7.85E-05,3,888,5.20E-06,0.39705,-0.02369211,2,47.62162,77.35135,0.8384774,83.65902,10.14754,44.0479
9-Sep,0.000118735,46,391,2.71E-06,0.51795,0.02367751,15,43.78378,82.62162,0.7340511,62.50492,5.219672,60.46708
A1BG,0.000136929,12,406,3.04E-06,0.47655,-0.02473951,40,37.75676,75,0.9251744,92.54754,11.6459,62.15492
A1CF,6.52E-06,9,613,3.31E-06,0.380165,0.01875195,7,48.56757,97.24324,0.9010063,120.5148,11.56393,42.18936
A2M,0.001027729,91,364,4.20E-06,0.39321,0.0165296,13,53.86486,96.43243,0.8839786,90.54098,10.99672,45.2047
A2ML1,9.34E-06,6,407,5.00E-06,0.429065,0.01214808,15,57.10811,98.51351,0.8957272,168.2492,27.00984,47.31368
A4GALT,7.46E-06,6,168,2.24E-06,0.52356,0.071838,20,39.75676,76.94595,0.9312602,84.32459,8.118033,62.98516
A4GNT,2.11E-05,19,464,3.91E-06,0.43737,0.009230724,5,60.59459,98.67568,0.9434347,140.6033,16.47213,49.1963
AAAS,3.82E-05,11,166,2.27E-06,0.50911,0.05811093,36,54.67568,98.54054,0.93323,158.2197,26.84918,54.61895
AACS,1.05E-06,5,306,3.52E-06,0.497515,0.01314078,7,50.72973,94,0.8536492,129.2918,17.3541,51.44861
AAED1,2.09E-06,2,430,2.65E-06,0.43608,0.02611974,7,39.2973,78.37838,0.8891726,102.7279,13.78689,39.53353
AAGAB,2.64E-05,15,320,1.95E-06,0.456425,0.04544143,11,50.21622,95,0.7846776,133.0492,20.32459,39.97869
AAK1,1.17E-05,6,309,1.86E-06,0.41643,0.034693,10,54.37838,97.18919,0.6974876,79.4623,8.003279,47.14659
AAMDC,9.71E-06,5,361,2.65E-06,0.40449,0.03457559,12,74.21622,98.56757,0.7171208,113.4393,15.44262,47.28047
AAMP,3.37E-05,27,197,2.12E-06,0.47081,0.03339527,9,48.64865,91.7027,0.9124238,133.5246,16.67213,57.5039
AANAT,7.14E-07,3,197,2.30E-06,0.51119,0.02923115,34,47.51351,86.62162,0.8960312,81.24262,11.74426,62.51157
AAR2,0.000178016,21,449,2.52E-06,0.48747,0.0441015,16,56.10811,98.35135,0.9287498,146.4393,19.79672,54.98197
AARS,6.09E-05,51,139,3.42E-06,0.47423,0.04184658,13,50.83784,96.72973,0.8985369,125.3836,14.96393,51.76406
AARS2,5.40E-05,13,312,2.63E-06,0.5166,0.05410535,25,52.72973,93.86486,0.9147864,126.1148,17.11803,57.09394
AARSD1,4.79E-05,47,201,2.17E-06,0.46506,0.02583375,41,54.89189,98.51351,0.8962967,205.5836,30.53115,49.05989
AASDHPPT,0.000246827,29,753,4.58E-06,0.37137,-0.01556708,5,44.45946,92.18919,0.8620405,114.2918,9.740984,37.56743
AASS,6.51E-06,6,988,2.88E-06,0.35626,-0.01319925,5,49.89189,95.94595,0.8977013,132.6656,14.76721,40.01509
AATF,0.000179859,56,384,2.48E-06,0.444975,0.01553868,18,55.02703,97.18919,0.8681028,145.1311,20.53443,44.4903
ABAT,5.73E-05,29,358,3.28E-06,0.4705426,-0.01017323,5,46.64865,95.05405,0.8438248,125.9639,14.33115,51.11848
ABCA1,4.92E-05,25,637,2.68E-06,0.409375,-0.01821782,12,54.21622,98.91892,0.8829676,128.4557,15.87541,46.99214
ABCA10,0,2,415,2.86E-06,0.361395,-0.0432268,10,49.27027,94.32432,0.9097481,126.9016,15.4459,36.69768
ABCA13,6.14E-06,4,878,4.53E-06,0.391038,-0.01119164,9,54.67568,96.43243,0.8983678,98.27213,12.85574,40.6647
ABCA2,5.84E-06,5,202,3.76E-06,0.62853,0.03992309,43,35.97297,64.27027,0.9510267,50.56721,1.629508,63.99167
ABCA3,1.03E-05,10,233,2.01E-06,0.56979,0.04589097,49,42.56757,87.48649,0.8980823,114.8951,13.94426,58.99206
ABCA4,0,1,370,1.65E-06,0.427015,-0.001895926,9,50.18919,97.27027,0.8885158,120.9508,15.3377,49.17093
ABCA5,4.02E-07,2,314,2.92E-06,0.35869,-0.04953827,9,42.05405,87.91892,0.8872221,104.2066,8.983607,33.04273
ABCA6,0,1,493,2.81E-06,0.37149,-0.03912152,10,48.10811,91.43243,0.891042,116.4426,12.70492,37.2837
ABCB1,7.48E-05,14,822,3.94E-06,0.3726133,0.000319672,8,54.16216,98.2973,0.756964,120.7049,11.08852,40.2865
ABCB10,2.80E-05,12,277,2.77E-06,0.42667,0.02002447,7,45.59459,85.43243,0.8801328,116.2951,14.79672,44.1552
ABCB11,5.04E-06,5,560,2.33E-06,0.387425,0.001437665,6,51.91892,97.78378,0.885964,119.9213,18.59016,42.08911
ABCB4,0.000104213,2,837,3.99E-06,0.3838,0.007980436,6,52.59459,97.24324,0.8917222,134.6689,16.46885,42.22466
ABCB6,1.32E-05,12,177,2.18E-06,0.45116,0.03644875,34,49.35135,90.62162,0.9206515,114.4197,14.94426,54.72275
ABCB7,1.95E-05,22,,4.02E-06,0.37127,-0.00529885,5,27.89189,71.83784,0.8926335,76.75082,5.236066,38.69591
ABCB8,8.38E-06,12,373,2.71E-06,0.57286,0.04144484,27,48.7027,92.05405,0.9036971,99.40328,8.47541,61.11026
ABCB9,0,1,196,2.33E-06,0.48981,0.04669136,21,45.35135,87.27027,0.894823,70.37705,4.813115,58.03627
ABCC1,5.05E-05,49,264,3.33E-06,0.47555,0.0330002,7,47.24324,95.02703,0.8501177,113.4951,12.83607,54.75679
ABCC10,3.50E-07,3,230,2.14E-06,0.46952,0.04907893,32,54.56757,94.24324,0.9269081,136.0656,15.99016,58.87161
ABCC12,0,1,628,2.97E-06,0.45672,-0.02667716,3,52.91892,97.59459,0.8819378,149.2623,21.68525,48.81531
ABCC2,7.63E-05,45,171,2.24E-06,0.427145,0.02976834,9,50.91892,96.59459,0.8911695,156.7672,22.28852,45.07634
ABCC3,1.46E-06,9,196,2.00E-06,0.5458,0.01835421,26,55.27027,93.81081,0.9087179,118.8361,13.26885,57.75809
ABCC4,2.82E-05,12,596,2.77E-06,0.4145275,0.03032535,6,51.64865,96.24324,0.8510113,110.3639,11.59016,41.75582
ABCC5,1.35E-05,7,375,2.79E-06,0.4464,0.043429,10,72.67568,98.83784,0.885085,147.1607,19.3377,49.0519
ABCC6,6.51E-07,5,188,3.50E-06,0.485425,0.0225807,8,47,93.2973,0.8742894,80.00984,6.255738,57.05954
ABCC8,6.89E-08,2,598,2.47E-06,0.47202,0.01412297,7,49.72973,95.10811,0.8167732,111.2295,13.30164,56.9719
ABCC9,5.42E-09,2,984,4.00E-06,0.367755,-0.01726562,12,50.78378,95.78378,0.8865596,132.1508,16.71475,38.73971
ABCD1,0.000314312,20,,2.68E-06,0.55204,0.03743487,23,26.08108,53.67568,0.9309801,53.37049,2.285246,62.7356
ABCD2,5.65E-05,5,596,3.82E-06,0.36398,-0.01559084,3,48.59459,94.05405,0.9132172,141.6951,16.22623,38.34837
ABCD3,0.000162277,50,348,1.62E-06,0.399155,-0.007712561,8,41.72973,91.13514,0.8729875,96.81639,6.813115,34.84965
